meter_number,value,timestamp
M1,1033435878,4/5/2023 10:44:59 PM
M2,221808094,4/5/2023 10:44:59 PM
M3,1171069671,4/5/2023 10:44:59 PM
M4,1355236700,4/5/2023 10:44:59 PM
M5,1753356511,4/5/2023 10:44:59 PM
M6,1245251842,4/5/2023 10:44:59 PM
M7,713283391,4/5/2023 10:44:59 PM
M8,1061460561,4/5/2023 10:44:59 PM
M9,807017117,4/5/2023 10:44:59 PM
M10,1439021119,4/5/2023 10:44:59 PM
M11,1282391974,4/5/2023 10:44:59 PM
M12,690364742,4/5/2023 10:44:59 PM
M13,1892796544,4/5/2023 10:44:59 PM
M14,1497175292,4/5/2023 10:44:59 PM
M15,1562153528,4/5/2023 10:44:59 PM
M16,1975930781,4/5/2023 10:44:59 PM
M17,1877916211,4/5/2023 10:44:59 PM
M18,2093475450,4/5/2023 10:44:59 PM
M19,1146330881,4/5/2023 10:44:59 PM
M20,1331775604,4/5/2023 10:44:59 PM
M21,96067857,4/5/2023 10:44:59 PM
M22,1424014631,4/5/2023 10:44:59 PM
M23,2062360557,4/5/2023 10:44:59 PM
M24,333232896,4/5/2023 10:44:59 PM
M25,439248476,4/5/2023 10:44:59 PM
M26,757790318,4/5/2023 10:44:59 PM
M27,539036380,4/5/2023 10:44:59 PM
M28,1086922720,4/5/2023 10:44:59 PM
M29,45510655,4/5/2023 10:44:59 PM
M30,47948914,4/5/2023 10:44:59 PM
M31,70871740,4/5/2023 10:44:59 PM
M32,34314789,4/5/2023 10:44:59 PM
M33,699455275,4/5/2023 10:44:59 PM
M34,962458080,4/5/2023 10:44:59 PM
M35,1001527959,4/5/2023 10:44:59 PM
M36,35224934,4/5/2023 10:44:59 PM
M37,2115065315,4/5/2023 10:44:59 PM
M38,1934752637,4/5/2023 10:44:59 PM
M39,438958303,4/5/2023 10:44:59 PM
M40,424393695,4/5/2023 10:44:59 PM
M41,1795789269,4/5/2023 10:44:59 PM
M42,1695476886,4/5/2023 10:44:59 PM
M43,124887892,4/5/2023 10:44:59 PM
M44,298805197,4/5/2023 10:44:59 PM
M45,853404385,4/5/2023 10:44:59 PM
M46,227242276,4/5/2023 10:44:59 PM
M47,516327685,4/5/2023 10:44:59 PM
M48,593670145,4/5/2023 10:44:59 PM
M49,743224894,4/5/2023 10:44:59 PM
M50,1191571153,4/5/2023 10:44:59 PM
M51,2102262981,4/5/2023 10:44:59 PM
M52,1462568039,4/5/2023 10:44:59 PM
M53,1255675852,4/5/2023 10:44:59 PM
M54,1616240286,4/5/2023 10:44:59 PM
M55,1920114419,4/5/2023 10:44:59 PM
M56,1821810274,4/5/2023 10:44:59 PM
M57,921988408,4/5/2023 10:44:59 PM
M58,152886251,4/5/2023 10:44:59 PM
M59,1593864992,4/5/2023 10:44:59 PM
M60,1723941955,4/5/2023 10:44:59 PM
M61,70283,4/5/2023 10:44:59 PM
M62,2053865670,4/5/2023 10:44:59 PM
M63,1636168050,4/5/2023 10:44:59 PM
M64,2061213901,4/5/2023 10:44:59 PM
M65,722116013,4/5/2023 10:44:59 PM
M66,497715066,4/5/2023 10:44:59 PM
M67,1102667001,4/5/2023 10:44:59 PM
M68,475004019,4/5/2023 10:44:59 PM
M69,759777471,4/5/2023 10:44:59 PM
M70,945762731,4/5/2023 10:44:59 PM
M71,254445473,4/5/2023 10:44:59 PM
M72,2126961997,4/5/2023 10:44:59 PM
M73,1884847073,4/5/2023 10:44:59 PM
M74,1145310608,4/5/2023 10:44:59 PM
M75,577598310,4/5/2023 10:44:59 PM
M76,1297780159,4/5/2023 10:44:59 PM
M77,642230516,4/5/2023 10:44:59 PM
M78,1833162236,4/5/2023 10:44:59 PM
M79,1486995453,4/5/2023 10:44:59 PM
M80,1295612827,4/5/2023 10:44:59 PM
M81,1850233462,4/5/2023 10:44:59 PM
M82,1960015010,4/5/2023 10:44:59 PM
M83,519300519,4/5/2023 10:44:59 PM
M84,76195010,4/5/2023 10:44:59 PM
M85,1480354736,4/5/2023 10:44:59 PM
M86,396502169,4/5/2023 10:44:59 PM
M87,1869981658,4/5/2023 10:44:59 PM
M88,471999365,4/5/2023 10:44:59 PM
M89,162748709,4/5/2023 10:44:59 PM
M90,568726164,4/5/2023 10:44:59 PM
M91,1376302094,4/5/2023 10:44:59 PM
M92,510032556,4/5/2023 10:44:59 PM
M93,712584971,4/5/2023 10:44:59 PM
M94,619112340,4/5/2023 10:44:59 PM
M95,1848574881,4/5/2023 10:44:59 PM
M96,257433589,4/5/2023 10:44:59 PM
M97,69070107,4/5/2023 10:44:59 PM
M98,1725259223,4/5/2023 10:44:59 PM
M99,1813217591,4/5/2023 10:44:59 PM
M100,1027362985,4/5/2023 10:44:59 PM
M101,1361846787,4/5/2023 10:44:59 PM
M102,82000713,4/5/2023 10:44:59 PM
M103,1770717137,4/5/2023 10:44:59 PM
M104,1684355730,4/5/2023 10:44:59 PM
M105,144724635,4/5/2023 10:44:59 PM
M106,1032390157,4/5/2023 10:44:59 PM
M107,1774041312,4/5/2023 10:44:59 PM
M108,1524080041,4/5/2023 10:44:59 PM
M109,170681593,4/5/2023 10:44:59 PM
M110,1017255551,4/5/2023 10:44:59 PM
M111,1362767897,4/5/2023 10:44:59 PM
M112,211967775,4/5/2023 10:44:59 PM
M113,1265440175,4/5/2023 10:44:59 PM
M114,1105651030,4/5/2023 10:44:59 PM
M115,355182685,4/5/2023 10:44:59 PM
M116,1501472623,4/5/2023 10:44:59 PM
M117,59248289,4/5/2023 10:44:59 PM
M118,778597268,4/5/2023 10:44:59 PM
M119,94786360,4/5/2023 10:44:59 PM
M120,1005090809,4/5/2023 10:44:59 PM
M121,1767855827,4/5/2023 10:44:59 PM
M122,386459702,4/5/2023 10:44:59 PM
M123,599176234,4/5/2023 10:44:59 PM
M124,342823596,4/5/2023 10:44:59 PM
M125,1616396232,4/5/2023 10:44:59 PM
M126,1127703371,4/5/2023 10:44:59 PM
M127,1074027646,4/5/2023 10:44:59 PM
M128,789475632,4/5/2023 10:44:59 PM
M129,1914724181,4/5/2023 10:44:59 PM
M130,325996054,4/5/2023 10:44:59 PM
M131,2010487241,4/5/2023 10:44:59 PM
M132,1440357914,4/5/2023 10:44:59 PM
M133,904251267,4/5/2023 10:44:59 PM
M134,1909658825,4/5/2023 10:44:59 PM
M135,1117831080,4/5/2023 10:44:59 PM
M136,1445801135,4/5/2023 10:44:59 PM
M137,1186850546,4/5/2023 10:44:59 PM
M138,1859019171,4/5/2023 10:44:59 PM
M139,849245431,4/5/2023 10:44:59 PM
M140,1266078138,4/5/2023 10:44:59 PM
M141,1890728599,4/5/2023 10:44:59 PM
M142,1548706336,4/5/2023 10:44:59 PM
M143,679964080,4/5/2023 10:44:59 PM
M144,959528229,4/5/2023 10:44:59 PM
M145,176502521,4/5/2023 10:44:59 PM
M146,1120284127,4/5/2023 10:44:59 PM
M147,1756965349,4/5/2023 10:44:59 PM
M148,1962314163,4/5/2023 10:44:59 PM
